44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45,44,45
58,59,3,4,5,59,58,59,6,7,8,9,58,55,58,3,4,5,58,59
72,73,17,18,19,73,55,73,20,21,22,23,72,69,72,17,18,19,72,73
71,72,31,32,33,71,69,73,34,35,36,37,71,72,71,31,32,33,72,73
116,117,116,117,116,117,116,117,116,117,116,117,116,117,116,117,116,100,101,117
102,136,137,103,102,103,102,103,102,103,102,103,102,103,102,103,102,114,115,103
116,150,151,117,116,117,116,117,116,117,116,117,116,117,116,117,116,100,101,117
102,103,102,103,102,103,102,103,102,103,102,103,102,103,102,103,102,114,115,103
116,117,116,117,116,117,116,117,116,117,116,117,116,117,116,117,116,100,101,117
102,103,102,103,102,103,102,103,102,103,102,103,102,103,102,103,102,114,115,103
116,117,116,117,116,117,116,117,116,117,116,117,116,117,116,117,116,100,101,117
102,103,102,103,102,103,102,103,102,140,141,142,102,103,102,103,102,114,115,103
116,117,116,117,116,117,116,117,116,154,155,156,116,117,116,117,116,100,101,117
102,103,102,103,102,103,102,103,102,168,169,170,102,103,102,103,102,114,115,103
116,117,116,117,116,117,116,117,116,117,116,117,116,117,116,117,116,114,115,117
